지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
108,2022-11-01 00:01,12.7,0,254,2.4,1012.7,1023,88.2,0,0
108,2022-11-01 00:02,12.7,0,246.4,2.4,1012.7,1023,87.4,0,0
108,2022-11-01 00:03,12.7,0,250.2,2.7,1012.7,1023,86.8,0,0
108,2022-11-01 00:04,12.7,0,249.8,2.5,1012.7,1023,88,0,0
108,2022-11-01 00:05,12.7,0,255.8,2.4,1012.8,1023.1,88,0,0
108,2022-11-01 00:06,12.7,0,250.3,2.6,1012.7,1023,88.4,0,0
108,2022-11-01 00:07,12.7,0,239.5,2.3,1012.7,1023,88.2,0,0
108,2022-11-01 00:08,12.7,0,247.5,2.2,1012.7,1023,88.2,0,0
108,2022-11-01 00:09,12.7,0,261.5,2.1,1012.7,1023,88.2,0,0
108,2022-11-01 00:10,12.7,0,264,2.2,1012.7,1023,87.1,0,0
108,2022-11-01 00:11,12.7,0,256.9,2,1012.7,1023,88.1,0,0
108,2022-11-01 00:12,12.7,0,256.7,1.9,1012.7,1023,87.8,0,0
108,2022-11-01 00:13,12.7,0,255.9,1.7,1012.7,1023,86.1,0,0
108,2022-11-01 00:14,12.7,0,250.6,1.9,1012.7,1023,86.8,0,0
108,2022-11-01 00:15,12.7,0,275.5,1.6,1012.7,1023,87.3,0,0
108,2022-11-01 00:16,12.7,0,269.5,1.5,1012.7,1023,87.9,0,0
108,2022-11-01 00:17,12.6,0,254.4,1.9,1012.7,1023,87.6,0,0
108,2022-11-01 00:18,12.6,0,256.6,1.6,1012.7,1023,87.4,0,0
108,2022-11-01 00:19,12.6,0,266.1,1.5,1012.7,1023,86.5,0,0
108,2022-11-01 00:20,12.6,0,264.7,1.4,1012.6,1022.9,86.4,0,0
108,2022-11-01 00:21,12.6,0,262.8,1.5,1012.6,1022.9,86.8,0,0
108,2022-11-01 00:22,12.6,0,272.6,1.4,1012.6,1022.9,86.1,0,0
108,2022-11-01 00:23,12.6,0,268.4,1.8,1012.6,1022.9,86.9,0,0
108,2022-11-01 00:24,12.5,0,265,1.9,1012.6,1022.9,86.7,0,0
108,2022-11-01 00:25,12.5,0,269.1,1.8,1012.6,1022.9,86.4,0,0
108,2022-11-01 00:26,12.5,0,270.7,1.5,1012.6,1022.9,86.6,0,0
108,2022-11-01 00:27,12.5,0,275.5,1.4,1012.6,1022.9,86.2,0,0
108,2022-11-01 00:28,12.5,0,264.1,1.5,1012.6,1022.9,85.9,0,0
108,2022-11-01 00:29,12.5,0,261.2,1.7,1012.6,1022.9,85.6,0,0
108,2022-11-01 00:30,12.5,0,258.3,1.6,1012.6,1022.9,85.6,0,0
108,2022-11-01 00:31,12.5,0,258.1,1.6,1012.7,1023,86.9,0,0
108,2022-11-01 00:32,12.5,0,262.1,1.5,1012.7,1023,86.9,0,0
108,2022-11-01 00:33,12.4,0,266.6,1.6,1012.7,1023,86.2,0,0
108,2022-11-01 00:34,12.4,0,271.2,1.5,1012.7,1023,86.1,0,0
108,2022-11-01 00:35,12.4,0,277.3,1.9,1012.7,1023,86.2,0,0
108,2022-11-01 00:36,12.4,0,279.4,1.8,1012.7,1023,87.2,0,0
108,2022-11-01 00:37,12.4,0,281.9,1.9,1012.7,1023,87.6,0,0
108,2022-11-01 00:38,12.4,0,279,1.9,1012.7,1023,87.3,0,0
